Title,Occurence,HolidayDate,"Pay and Leave Holiday Date (if SAT, then FRI if SUN  then MON)",Month,Day,Year,WeekDay
Labor Day,First Monday in Sept,9/2/24,9/2/24,9,2,2024,2
Columbus Day,Second Monday in Oct,10/14/24,10/14/24,10,14,2024,2
Veterans Day,Annual,11/11/24,11/11/24,11,11,2024,2
Thanksgiving Day,Fourth Thursday in Nov,11/28/24,11/28/24,11,28,2024,5
Christmas Day,Annual,12/25/24,12/25/24,12,25,2024,4
New Year's Day,Year Start,1/1/25,1/1/25,1,1,2025,4
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/20/25,1/20/25,1,20,2025,2
Washington's Birthday,Third Monday in Feb,2/17/25,2/17/25,2,17,2025,2
Memorial Day,Last Monday in May,5/26/25,5/26/25,5,26,2025,2
Juneteenth National Independence Day,Annual,6/19/25,6/19/25,6,19,2025,5
Independence Day,Annual,7/4/25,7/4/25,7,4,2025,6
Labor Day,First Monday in Sept,9/1/25,9/1/25,9,1,2025,2
Columbus Day,Second Monday in Oct,10/13/25,10/13/25,10,13,2025,2
Veterans Day,Annual,11/11/25,11/11/25,11,11,2025,3
Thanksgiving Day,Fourth Thursday in Nov,11/27/25,11/27/25,11,27,2025,5
Christmas Day,Annual,12/25/25,12/25/25,12,25,2025,5
New Year's Day,Year Start,1/1/26,1/1/26,1,1,2026,5
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/19/26,1/19/26,1,19,2026,2
Washington's Birthday,Third Monday in Feb,2/16/26,2/16/26,2,16,2026,2
Memorial Day,Last Monday in May,5/25/26,5/25/26,5,25,2026,2
Juneteenth National Independence Day,Annual,6/19/26,6/19/26,6,19,2026,6
Independence Day,Annual,7/4/26,7/3/26,7,4,2026,7
Labor Day,First Monday in Sept,9/7/26,9/7/26,9,7,2026,2
Columbus Day,Second Monday in Oct,10/12/26,10/12/26,10,12,2026,2
Veterans Day,Annual,11/11/26,11/11/26,11,11,2026,4
Thanksgiving Day,Fourth Thursday in Nov,11/26/26,11/26/26,11,26,2026,5
Christmas Day,Annual,12/25/26,12/25/26,12,25,2026,6
New Year's Day,Year Start,1/1/27,1/1/27,1,1,2027,6
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/18/27,1/18/27,1,18,2027,2
Washington's Birthday,Third Monday in Feb,2/15/27,2/15/27,2,15,2027,2
Memorial Day,Last Monday in May,5/24/27,5/24/27,5,24,2027,2
Juneteenth National Independence Day,Annual,6/19/27,6/18/27,6,19,2027,7
Independence Day,Annual,7/4/27,7/5/27,7,4,2027,1
Labor Day,First Monday in Sept,9/6/27,9/6/27,9,6,2027,2
Columbus Day,Second Monday in Oct,10/11/27,10/11/27,10,11,2027,2
Veterans Day,Annual,11/11/27,11/11/27,11,11,2027,5
Thanksgiving Day,Fourth Thursday in Nov,11/25/27,11/25/27,11,25,2027,5
Christmas Day,Annual,12/25/27,12/24/27,12,25,2027,7
New Year's Day,Year Start,1/1/28,12/31/27,1,1,2028,7
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/17/28,1/17/28,1,17,2028,2
Washington's Birthday,Third Monday in Feb,2/21/28,2/21/28,2,21,2028,2
Memorial Day,Last Monday in May,5/22/28,5/22/28,5,22,2028,2
Juneteenth National Independence Day,Annual,6/19/28,6/19/28,6,19,2028,2
Independence Day,Annual,7/4/28,7/4/28,7,4,2028,3
Labor Day,First Monday in Sept,9/4/28,9/4/28,9,4,2028,2
Columbus Day,Second Monday in Oct,10/9/28,10/9/28,10,9,2028,2
Veterans Day,Annual,11/11/28,11/10/28,11,11,2028,7
Thanksgiving Day,Fourth Thursday in Nov,11/23/28,11/23/28,11,23,2028,5
Christmas Day,Annual,12/25/28,12/25/28,12,25,2028,2
New Year's Day,Year Start,1/1/29,1/1/29,1,1,2029,2
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/15/29,1/15/29,1,15,2029,2
Washington's Birthday,Third Monday in Feb,2/19/29,2/19/29,2,19,2029,2
Memorial Day,Last Monday in May,5/28/29,5/28/29,5,28,2029,2
Juneteenth National Independence Day,Annual,6/19/29,6/19/29,6,19,2029,3
Independence Day,Annual,7/4/29,7/4/29,7,4,2029,4
Labor Day,First Monday in Sept,9/3/29,9/3/29,9,3,2029,2
Columbus Day,Second Monday in Oct,10/8/29,10/8/29,10,8,2029,2
Veterans Day,Annual,11/11/29,11/12/29,11,11,2029,1
Thanksgiving Day,Fourth Thursday in Nov,11/22/29,11/22/29,11,22,2029,5
Christmas Day,Annual,12/25/29,12/25/29,12,25,2029,3
New Year's Day,Year Start,1/1/30,1/1/30,1,1,2030,3
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/21/30,1/21/30,1,21,2030,2
Washington's Birthday,Third Monday in Feb,2/18/30,2/18/30,2,18,2030,2
Memorial Day,Last Monday in May,5/27/30,5/27/30,5,27,2030,2
Juneteenth National Independence Day,Annual,6/19/30,6/19/30,6,19,2030,4
Independence Day,Annual,7/4/30,7/4/30,7,4,2030,5
Labor Day,First Monday in Sept,9/2/30,9/2/30,9,2,2030,2
Columbus Day,Second Monday in Oct,10/14/30,10/14/30,10,14,2030,2
Veterans Day,Annual,11/11/30,11/11/30,11,11,2030,2
Thanksgiving Day,Fourth Thursday in Nov,11/28/30,11/28/30,11,28,2030,5
Christmas Day,Annual,12/25/30,12/25/30,12,25,2030,4
New Year's Day,Year Start,1/1/31,1/1/31,1,1,2031,4
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/20/31,1/20/31,1,20,2031,2
Washington's Birthday,Third Monday in Feb,2/17/31,2/17/31,2,17,2031,2
Memorial Day,Last Monday in May,5/26/31,5/26/31,5,26,2031,2
Juneteenth National Independence Day,Annual,6/19/31,6/19/31,6,19,2031,5
Independence Day,Annual,7/4/31,7/4/31,7,4,2031,6
Labor Day,First Monday in Sept,9/1/31,9/1/31,9,1,2031,2
Columbus Day,Second Monday in Oct,10/13/31,10/13/31,10,13,2031,2
Veterans Day,Annual,11/11/31,11/11/31,11,11,2031,3
Thanksgiving Day,Fourth Thursday in Nov,11/27/31,11/27/31,11,27,2031,5
Christmas Day,Annual,12/25/31,12/25/31,12,25,2031,5
New Year's Day,Year Start,1/1/32,1/1/32,1,1,2032,5
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/19/32,1/19/32,1,19,2032,2
Washington's Birthday,Third Monday in Feb,2/16/32,2/16/32,2,16,2032,2
Memorial Day,Last Monday in May,5/24/32,5/24/32,5,24,2032,2
Juneteenth National Independence Day,Annual,6/19/32,6/18/32,6,19,2032,7
Independence Day,Annual,7/4/32,7/5/32,7,4,2032,1
Labor Day,First Monday in Sept,9/6/32,9/6/32,9,6,2032,2
Columbus Day,Second Monday in Oct,10/11/32,10/11/32,10,11,2032,2
Veterans Day,Annual,11/11/32,11/11/32,11,11,2032,5
Thanksgiving Day,Fourth Thursday in Nov,11/25/32,11/25/32,11,25,2032,5
Christmas Day,Annual,12/25/32,12/24/32,12,25,2032,7
New Year's Day,Year Start,1/1/33,12/31/32,1,1,2033,7
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/17/33,1/17/33,1,17,2033,2
Washington's Birthday,Third Monday in Feb,2/21/33,2/21/33,2,21,2033,2
Memorial Day,Last Monday in May,5/23/33,5/23/33,5,23,2033,2
Juneteenth National Independence Day,Annual,6/19/33,6/20/33,6,19,2033,1
Independence Day,Annual,7/4/33,7/4/33,7,4,2033,2
Labor Day,First Monday in Sept,9/5/33,9/5/33,9,5,2033,2
Columbus Day,Second Monday in Oct,10/10/33,10/10/33,10,10,2033,2
Veterans Day,Annual,11/11/33,11/11/33,11,11,2033,6
Thanksgiving Day,Fourth Thursday in Nov,11/24/33,11/24/33,11,24,2033,5
Christmas Day,Annual,12/25/33,12/26/33,12,25,2033,1
New Year's Day,Year Start,1/1/34,1/2/34,1,1,2034,1
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/16/34,1/16/34,1,16,2034,2
Washington's Birthday,Third Monday in Feb,2/20/34,2/20/34,2,20,2034,2
Memorial Day,Last Monday in May,5/22/34,5/22/34,5,22,2034,2
Juneteenth National Independence Day,Annual,6/19/34,6/19/34,6,19,2034,2
Independence Day,Annual,7/4/34,7/4/34,7,4,2034,3
Labor Day,First Monday in Sept,9/4/34,9/4/34,9,4,2034,2
Columbus Day,Second Monday in Oct,10/9/34,10/9/34,10,9,2034,2
Veterans Day,Annual,11/11/34,11/10/34,11,11,2034,7
Thanksgiving Day,Fourth Thursday in Nov,11/23/34,11/23/34,11,23,2034,5
Christmas Day,Annual,12/25/34,12/25/34,12,25,2034,2
New Year's Day,Year Start,1/1/35,1/1/35,1,1,2035,2
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/15/35,1/15/35,1,15,2035,2
Washington's Birthday,Third Monday in Feb,2/19/35,2/19/35,2,19,2035,2
Memorial Day,Last Monday in May,5/28/35,5/28/35,5,28,2035,2
Juneteenth National Independence Day,Annual,6/19/35,6/19/35,6,19,2035,3
Independence Day,Annual,7/4/35,7/4/35,7,4,2035,4
Labor Day,First Monday in Sept,9/3/35,9/3/35,9,3,2035,2
Columbus Day,Second Monday in Oct,10/8/35,10/8/35,10,8,2035,2
Veterans Day,Annual,11/11/35,11/12/35,11,11,2035,1
Thanksgiving Day,Fourth Thursday in Nov,11/22/35,11/22/35,11,22,2035,5
Christmas Day,Annual,12/25/35,12/25/35,12,25,2035,3
New Year's Day,Year Start,1/1/36,1/1/36,1,1,2036,3
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/21/36,1/21/36,1,21,2036,2
Washington's Birthday,Third Monday in Feb,2/18/36,2/18/36,2,18,2036,2
Memorial Day,Last Monday in May,5/26/36,5/26/36,5,26,2036,2
Juneteenth National Independence Day,Annual,6/19/36,6/19/36,6,19,2036,5
Independence Day,Annual,7/4/36,7/4/36,7,4,2036,6
Labor Day,First Monday in Sept,9/1/36,9/1/36,9,1,2036,2
Columbus Day,Second Monday in Oct,10/13/36,10/13/36,10,13,2036,2
Veterans Day,Annual,11/11/36,11/11/36,11,11,2036,3
Thanksgiving Day,Fourth Thursday in Nov,11/27/36,11/27/36,11,27,2036,5
Christmas Day,Annual,12/25/36,12/25/36,12,25,2036,5
New Year's Day,Year Start,1/1/37,1/1/37,1,1,2037,5
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/19/37,1/19/37,1,19,2037,2
Washington's Birthday,Third Monday in Feb,2/16/37,2/16/37,2,16,2037,2
Memorial Day,Last Monday in May,5/25/37,5/25/37,5,25,2037,2
Juneteenth National Independence Day,Annual,6/19/37,6/19/37,6,19,2037,6
Independence Day,Annual,7/4/37,7/3/37,7,4,2037,7
Labor Day,First Monday in Sept,9/7/37,9/7/37,9,7,2037,2
Columbus Day,Second Monday in Oct,10/12/37,10/12/37,10,12,2037,2
Veterans Day,Annual,11/11/37,11/11/37,11,11,2037,4
Thanksgiving Day,Fourth Thursday in Nov,11/26/37,11/26/37,11,26,2037,5
Christmas Day,Annual,12/25/37,12/25/37,12,25,2037,6
New Year's Day,Year Start,1/1/38,1/1/38,1,1,2038,6
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/18/38,1/18/38,1,18,2038,2
Washington's Birthday,Third Monday in Feb,2/15/38,2/15/38,2,15,2038,2
Memorial Day,Last Monday in May,5/24/38,5/24/38,5,24,2038,2
Juneteenth National Independence Day,Annual,6/19/38,6/18/38,6,19,2038,7
Independence Day,Annual,7/4/38,7/5/38,7,4,2038,1
Labor Day,First Monday in Sept,9/6/38,9/6/38,9,6,2038,2
Columbus Day,Second Monday in Oct,10/11/38,10/11/38,10,11,2038,2
Veterans Day,Annual,11/11/38,11/11/38,11,11,2038,5
Thanksgiving Day,Fourth Thursday in Nov,11/25/38,11/25/38,11,25,2038,5
Christmas Day,Annual,12/25/38,12/24/38,12,25,2038,7
New Year's Day,Year Start,1/1/39,12/31/38,1,1,2039,7
